id,user_uuid,hour,age,weight,height,gender,at,rh,met,cl,hr,st,ati(-3-3),ati(0-6)
1,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.2573745,58.3366765,1.274197501,0.47,89,32,0,3
2,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.311282,59.00144,1.307847082,0.47,77,32,0,3
3,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.334916,58.009603,1.317122594,0.47,79,33,0,3
4,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.1385505,55.5704215,1.368209256,0.47,78,34,0,3
5,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.1385505,55.5704215,1.348865727,0.47,75,34,0,3
6,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.261325,53.424551,1.369863014,0.47,76,34,0,3
7,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,25.218705,53.0346485,1.28521997,0.47,74,34,0,3
8,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,25.132626,52.5148465,1.345170837,0.47,77,33,0,3
9,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,24.8402255,51.927384,1.360544218,0.47,70,34,0,3
10,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.493837,56.5722335,1.341906626,0.54,89,31,0,3
11,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.2658585,55.8604025,1.399752985,0.54,92,32,0,3
12,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.1234955,56.042713,1.371428571,0.54,102,32,0,3
13,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,26.97779,56.122406,1.426194438,0.54,67,34,0,3
14,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.003585,57.644508,1.275510204,0.54,91,34,0,3
15,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.079135,58.056423,1.398601399,0.54,98,34,0,3
16,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.063081,57.2764775,1.428571429,0.54,90,34,0,3
17,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.0788,57.7474435,1.349831271,0.54,96,34,0,3
18,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.057805,57.7736985,1.342782544,0.54,86,34,0,3
19,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.100042,57.6500935,1.242236025,0.54,103,34,0,3
20,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,27.281264,59.8044985,1.395730706,0.54,85,34,0,3
21,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,27.003891,55.335171,1.333333333,0.54,81,32,0,3
22,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,26.6031465,54.8335955,1.347708895,0.54,77,33,1,4
23,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,27.013771,59.710685,1.279317697,0.54,66,34,0,3
24,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,27.218237,60.414875,1.355932203,0.54,74,34,0,3
25,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,27.172043,60.3770925,1.375095493,0.54,76,34,0,3
26,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.2947135,61.801855,1.450892857,0.54,72,34,0,3
27,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.455414,62.985673,1.438848921,0.54,74,34,0,3
28,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.7383665,64.0955505,1.339285714,0.54,77,34,0,3
29,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.7383665,64.0955505,1.263362488,0.54,74,35,-1,2
30,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.901252,64.441825,1.484230056,0.54,72,34,0,3
31,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.901252,64.441825,1.142857143,0.54,79,34,0,3
32,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.9266255,64.534175,1.569858713,0.54,75,34,0,3
33,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,27.9266255,64.534175,1.291364003,0.54,72,34,0,3
34,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,28.0009915,63.8409075,1.323937647,0.54,69,33,0,3
35,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.7044715,58.3099325,1.355578728,0.54,72,33,0,3
36,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.7044715,58.3099325,1.219512195,0.54,70,33,0,3
37,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,27.5558985,56.694733,1.365964713,0.54,71,33,0,3
38,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,27.4380625,56.720244,1.298701299,0.54,89,33,0,3
39,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,27.804409,59.706589,1.480836237,0.54,82,33,0,3
40,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,28.118435,62.4127815,1.323772752,0.54,69,33,0,3
41,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,28.415603,65.366805,1.31246845,0.54,74,33,0,3
42,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,28.415603,65.366805,1.39941691,0.54,74,33,0,3
43,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.911665,58.2351815,1.331114809,0.54,68,32,0,3
44,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.9793635,58.0094765,1.31010453,0.47,78,31,0,3
45,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.96955,55.8743,1.486374897,0.47,100,32,0,3
46,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.9298515,54.1398925,1.324503311,0.47,72,31,0,3
47,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.799627,52.8988555,1.355166573,0.47,76,31,0,3
48,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.6792825,52.643145,1.391941392,0.47,79,31,1,4
49,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.7351975,53.232544,1.237345332,0.47,72,31,0,3
50,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,26.0274955,55.637695,1.437556155,0.47,70,31,0,3
51,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,26.0070485,55.012745,1.331285202,0.47,83,32,-1,2
52,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,25.9219965,54.356421,1.204159825,0.47,77,33,0,3
53,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.0002695,55.0261805,1.262825572,0.54,78,29,0,3
54,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.2520115,56.8144095,1.47601476,0.54,79,30,-1,2
55,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.382122,56.1484475,1.311953353,0.54,70,30,0,3
56,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.4670785,55.203004,1.274561869,0.54,78,30,0,3
57,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,25.545541,53.9967555,1.356506994,0.54,75,30,-1,2
58,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.5802565,52.0679225,1.492537313,0.54,83,30,0,3
59,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.5678365,50.461133,1.276935355,0.54,71,30,0,3
60,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.570094,49.989304,1.322751323,0.54,83,30,0,3
61,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.6065075,49.981285,1.35249366,0.54,75,29,0,3
62,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.587876,49.895956,1.419110691,0.54,73,29,0,3
63,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.5201385,50.045732,1.28968254,0.54,73,29,-1,2
64,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,25.477237,49.985902,1.414427157,0.54,78,30,0,3
65,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,23,20,63,185,1,25.425869,49.9308895,1.265155509,0.54,71,30,0,3
66,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,25.063759,47.8803905,1.326699834,0.47,85,31,0,3
67,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,27.2939225,55.9996,1.356238698,0.47,83,32,0,3
68,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,27.1598765,56.843112,1.307189542,0.47,84,32,0,3
69,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,26.9710865,54.843413,1.358313817,0.47,90,33,0,3
70,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,20,20,63,185,1,26.8528335,53.5027135,1.376936317,0.47,95,32,0,3
71,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,26.6747425,52.437178,1.326846528,0.47,75,32,0,3
72,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,26.807193,56.6537515,1.382488479,0.47,76,32,0,3
73,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,26.7998,55.12685,1.330532213,0.47,86,32,0,3
74,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,26.7701285,54.446697,1.369237791,0.47,74,32,-1,2
75,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,21,20,63,185,1,26.771054,54.9410935,1.23685838,0.47,76,32,0,3
76,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,26.753232,54.2427235,1.35249366,0.47,73,31,0,3
77,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,26.685393,52.6072695,1.360544218,0.47,76,31,0,3
78,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,26.5932215,50.9541035,1.31246845,0.47,78,31,0,3
79,1ba0a803-d7f9-4ee9-9051-25c21ad16bea,22,20,63,185,1,25.177969,54.785082,1.38026225,0.54,83,29,0,3
