id,user_uuid,hour,age,weight,height,gender,at,rh,met,cl,hr,st,ati(-3-3),ati(0-6)
1,00313491-ad03-457a-aaee-1ee25ef88623,13,24,59,170,1,28.677035,57.4027235,1.224420384,0.54,101,33,2,5
2,00313491-ad03-457a-aaee-1ee25ef88623,13,24,59,170,1,28.4864605,58.193998,1.308944454,0.54,78,33,0,3
3,00313491-ad03-457a-aaee-1ee25ef88623,13,24,59,170,1,28.205764,58.420845,1.220338983,0.54,86,33,0,3
4,00313491-ad03-457a-aaee-1ee25ef88623,13,24,59,170,1,28.1032955,58.8984165,1.284567351,0.54,85,33,0,3
5,00313491-ad03-457a-aaee-1ee25ef88623,14,24,59,170,1,28.0990265,61.1040115,1.400388997,0.54,76,33,0,3
6,00313491-ad03-457a-aaee-1ee25ef88623,14,24,59,170,1,27.8864175,60.1609185,1.232665639,0.54,78,33,0,3
7,00313491-ad03-457a-aaee-1ee25ef88623,14,24,59,170,1,27.561326,57.0521625,1.335387776,0.54,78,33,0,3
8,00313491-ad03-457a-aaee-1ee25ef88623,14,24,59,170,1,27.1197065,52.97686,1.258081426,0.54,74,32,0,3
9,00313491-ad03-457a-aaee-1ee25ef88623,14,24,59,170,1,27.1197065,52.97686,1.316912572,0.54,75,31,-1,2
10,00313491-ad03-457a-aaee-1ee25ef88623,14,24,59,170,1,26.6119555,49.0295715,1.233798604,0.54,73,31,-1,2
11,00313491-ad03-457a-aaee-1ee25ef88623,14,24,59,170,1,26.0052075,45.55666,1.322033898,0.54,72,31,-1,2
12,00313491-ad03-457a-aaee-1ee25ef88623,15,24,59,170,1,25.4202575,43.7833595,1.316912572,0.54,72,31,-1,2
13,00313491-ad03-457a-aaee-1ee25ef88623,15,24,59,170,1,24.9277355,42.977417,1.24524386,0.54,69,30,-1,2
14,00313491-ad03-457a-aaee-1ee25ef88623,15,24,59,170,1,24.480866,42.3943595,1.317641759,0.54,71,30,-2,1
15,005e91b0-d290-43ab-8044-765eea828db6,19,21,64,174,1,27.123543,46.7283515,1.275510204,0.47,82,32,0,3
16,005e91b0-d290-43ab-8044-765eea828db6,19,21,64,174,1,27.1794245,46.4974635,1.27016129,0.47,76,33,0,3
17,005e91b0-d290-43ab-8044-765eea828db6,19,21,64,174,1,27.2296655,46.191885,1.25,0.47,72,33,0,3
18,005e91b0-d290-43ab-8044-765eea828db6,19,21,64,174,1,27.2739745,45.9696285,1.278409091,0.47,74,33,1,4
19,005e91b0-d290-43ab-8044-765eea828db6,19,21,64,174,1,27.29119,45.73854,1.302083333,0.47,76,33,0,3
20,005e91b0-d290-43ab-8044-765eea828db6,20,21,64,174,1,27.3072815,45.6100435,1.206683168,0.47,72,32,0,3
21,005e91b0-d290-43ab-8044-765eea828db6,20,21,64,174,1,27.171803,45.1265815,1.278409091,0.47,71,32,0,3
22,005e91b0-d290-43ab-8044-765eea828db6,20,21,64,174,1,27.134266,44.956928,1.282894737,0.47,64,31,0,3
23,005e91b0-d290-43ab-8044-765eea828db6,20,21,64,174,1,27.1740635,44.4885215,1.278409091,0.47,77,32,0,3
24,005e91b0-d290-43ab-8044-765eea828db6,20,21,64,174,1,27.2087765,44.0877775,1.188380282,0.47,67,31,0,3
